run_index,seed,baseline_csv_dir,whatif_csv_dir,baseline_run_id,whatif_run_id,baseline_scenario_id,whatif_scenario_id
11,11,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_propagation_e2e/runs/run_11,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_whatif_mc_e2e/whatif_runs/run_11,bc9a78235cf1,b47aa3c1bc6a,FWD_BASE_T26820,FWD_WHATIF_T26820_STRONG_R11
12,12,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_propagation_e2e/runs/run_12,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_whatif_mc_e2e/whatif_runs/run_12,218f3357278b,0a8ced0d5a81,FWD_BASE_T26820,FWD_WHATIF_T26820_STRONG_R12
13,13,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_propagation_e2e/runs/run_13,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_whatif_mc_e2e/whatif_runs/run_13,f19bf4a6a65e,a3a8079aaf8e,FWD_BASE_T26820,FWD_WHATIF_T26820_STRONG_R13
14,14,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_propagation_e2e/runs/run_14,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_whatif_mc_e2e/whatif_runs/run_14,d0d224e06eba,e7770a497f52,FWD_BASE_T26820,FWD_WHATIF_T26820_STRONG_R14
15,15,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_propagation_e2e/runs/run_15,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_whatif_mc_e2e/whatif_runs/run_15,9664490795be,53054d476990,FWD_BASE_T26820,FWD_WHATIF_T26820_STRONG_R15
16,16,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_propagation_e2e/runs/run_16,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_whatif_mc_e2e/whatif_runs/run_16,6dc9b27a97dd,4aa49eda50a4,FWD_BASE_T26820,FWD_WHATIF_T26820_STRONG_R16
17,17,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_propagation_e2e/runs/run_17,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_whatif_mc_e2e/whatif_runs/run_17,8360455d6a49,addbba9482b6,FWD_BASE_T26820,FWD_WHATIF_T26820_STRONG_R17
18,18,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_propagation_e2e/runs/run_18,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_whatif_mc_e2e/whatif_runs/run_18,e746503c3a04,872c55a2b497,FWD_BASE_T26820,FWD_WHATIF_T26820_STRONG_R18
19,19,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_propagation_e2e/runs/run_19,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_whatif_mc_e2e/whatif_runs/run_19,417da89b93a9,f1ba3225dcd8,FWD_BASE_T26820,FWD_WHATIF_T26820_STRONG_R19
20,20,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_propagation_e2e/runs/run_20,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_whatif_mc_e2e/whatif_runs/run_20,249c949c2b64,21796ee7b923,FWD_BASE_T26820,FWD_WHATIF_T26820_STRONG_R20
